Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C102, C103, C104, C105, C106, C119, C19, C205, C207, C208, C209, C216, C22, C303, C401",0805,16,100n,C28233
"C10, C11, C12, C13, C20, C21",0603,6,1n,C1588
"C101, C203, C212",0603,3,2u2,C23630
"C107, C108, C113, C201, C202, C206, C210, C211, C217, C301, C302",0805,11,10u,C15850
"C109, C110",0603,2,22n,C21122
"C111, C115, C116, C117, C118, C501, C502, C503, C504, C505",0603,10,1u,C15849
"C112, C114",CP_EIA-3528-21_Kemet-B_HandSolder,2,100u,C16133
"C14, C15, C16, C17, C2",0603,5,10n,C57112
"C204, C213",0603,2,2n2,C1604
"C25, C27, C29, C32, C34, C35",CP_Radial_D6.3mm_P2.50mm,6,220µ,
"C26, C28, C31, C33",CP_Radial_D10.0mm_P5.00mm,4,680µ,
"C3, C4, C5, C6",0805,4,220n,C5378
C30,CP_Radial_D8.0mm_P3.50mm,1,180µ,
"C509, C7, C8, C9",1206,4,680n,C1881
"D1, D2, D3, D4, D6, D7",D_SMA_Handsoldering,6,SS54,C22452
D5,D_SOD-123,1,6V8,C2124
J1,CON_2004850460_MOL,1,Conn_01x60,
J108,PinSocket_1x06_P2.54mm_Vertical,1,Prog BT,
J2,SolderWire-1sqmm_1x02_P5.4mm_D1.4mm_OD2.7mm,1,Conn_01x02,
"J3, J4",SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm,2,Conn_01x01,
"L1, L2, L3, L501",IND_VLS6045EX-100M,4,10u,C168076
"L4, L5, L6, L8",L_Wuerth_HCI-1365,4,33µ,C5359277
L7,L_Bourns-SRN6028,1,3µ,C19947650
"Q1, Q2, Q3, Q4, Q5",SOT-23,5,MMBT5551L,C2145
R1,0805,1,0R01,C236284
"R101, R102, R103, R106, R108, R110, R112, R151, R153",0603,9,47,C23182
"R104, R105, R107, R109, R111, R113, R117, R132, R133, R137, R138, R143, R144, R147, R149, R150, R152",0402,17,10k,C25744
"R114, R116, R129, R130",0402,4,5k1,C25905
"R115, R120, R139",0402,3,1k5,C25867
"R118, R119",0402,2,22,C25092
"R121, R122",0402,2,16,C227309
"R123, R124, R125, R126, R134, R135, R136, R145, R146, R148",0402,10,3k3,C25890
R127,0402,1,1M,C26083
"R128, R131",0402,2,330,C25104
"R140, R142, R154, R155",0402,4,4k7,C25900
R141,0402,1,120,C25079
"R2, R3, R4, R5, R6",0805,5,3R3,C16257
"R201, R202",0402,2,470,C25117
"R501, R503, R504",0603,3,100k,C25803
R502,0603,1,20k,C4184
RV1,Fader 401766,1,10k,
"S1, S2",microswitch,2,SS0750301F040P1A,
"SPEAKER_FRONT1, SPEAKER_REAR1",SolderWire-1sqmm_1x04_P5.4mm_D1.4mm_OD2.7mm,2,Conn_02x02_Odd_Even,
SW_DUMMY,microswitch,1,microswitch,
U1,TSSOP-10_3x3mm_P0.5mm,1,INA226,C49851
U10,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC595,C5947
U101,ESP32-WROOM-32D,1,ESP32-WROOM-32E,C701343
"U103, U201, U301",SOT-23-5,3,TLV73333PDBV,C134139
U104,TQFP-32_7x7mm_P0.8mm,1,PCM2706CPJTR,C2651268
U11,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC14,C5605
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,C7950
U202,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,C107671
"U3, U4",RELAY8_J104D2C12VDC.20S_CRS,2,J104D2C12VDC.15S,
"U5, U7",TO-263-5_TabPin3,2,LM2596S-5,C10002
U501,SOP65P810X120-33N,1,TPA3118D2DAPR,C46497
U6,TO-263-5_TabPin3,1,LM2596S-3.3,C7929
U8,TO-263-5_TabPin3,1,LM2596S-ADJ,C29781
U9,SMDIP-4_W9.53mm,1,LTV-817S,C109227
Y101,OSC_CSTNE12M0G55A000R0,1,CSTNE12M0G55A000R0,C907940
