Designator,Mid X,Mid Y,Rotation,Layer
C1,188.7673,-79.9236,270.0,top
C10,211.7673,-50.9236,0.0,top
C101,77.6523,-117.1636,270.0,top
C102,155.3198,-122.2656,0.0,top
C103,155.3198,-118.4556,0.0,top
C104,155.3198,-114.6456,0.0,top
C105,143.0848,-113.8836,180.0,top
C106,143.3388,-118.4556,180.0,top
C107,162.1568,-92.4145,270.0,top
C108,161.6068,-107.9145,180.0,top
C109,177.6068,-98.4145,90.0,top
C11,197.7673,-50.9236,0.0,top
C110,177.6068,-102.9145,270.0,top
C111,159.1568,-95.952,180.0,top
C112,183.1068,-98.4145,180.0,top
C113,173.6068,-96.4145,270.0,top
C114,183.1068,-102.4145,180.0,top
C115,175.6068,-97.9145,90.0,top
C116,169.1068,-92.9145,270.0,top
C117,173.6068,-103.4145,270.0,top
C118,172.1068,-107.9145,270.0,top
C119,148.8323,-81.0136,180.0,top
C12,204.7673,-50.9236,0.0,top
C13,190.7673,-50.9236,0.0,top
C14,210.9673,-42.4236,270.0,top
C15,199.9673,-42.4236,270.0,top
C16,205.4673,-42.4236,270.0,top
C17,194.4673,-42.4236,270.0,top
C19,211.2673,-75.4236,270.0,top
C2,207.2673,-75.4236,270.0,top
C20,193.2673,-75.4236,270.0,top
C201,99.5,-114.5,90.0,top
C202,105.0,-113.0,180.0,top
C203,114.0,-105.0,90.0,top
C204,117.0,-110.5,270.0,top
C205,110.0,-112.5,180.0,top
C206,100.5,-108.5,180.0,top
C207,100.5,-111.0,180.0,top
C208,110.0,-115.0,180.0,top
C209,109.5,-101.5,180.0,top
C21,209.2673,-75.4236,270.0,top
C210,109.5,-99.0,180.0,top
C211,100.5,-106.0,180.0,top
C212,114.0,-109.5,90.0,top
C213,117.0,-104.0,90.0,top
C216,76.6068,-109.2926,180.0,top
C217,76.6283,-107.0066,0.0,top
C22,191.2673,-75.4236,270.0,top
C25,87.2673,-28.7237,90.0,top
C26,113.0423,-59.1913,90.0,top
C27,111.5423,-80.8912,270.0,top
C28,133.1349,-105.5559,270.0,top
C29,138.7673,-82.856,90.0,top
C3,195.7673,-68.9236,0.0,top
C30,122.7673,-82.0209,270.0,top
C301,161.7673,-78.5611,270.0,top
C302,167.7673,-78.5611,90.0,top
C303,169.2673,-86.0611,0.0,top
C31,148.3996,-44.9236,0.0,top
C32,123.2673,-32.356,90.0,top
C33,87.7673,-50.9236,270.0,top
C34,215.8349,-66.9236,0.0,top
C35,184.6996,-66.9236,180.0,top
C4,202.2673,-65.4236,0.0,top
C401,145.6463,-122.5196,180.0,top
C5,197.7673,-65.4236,180.0,top
C501,195.7673,-87.9236,90.0,top
C502,197.7673,-87.9236,90.0,top
C503,200.7673,-87.9236,90.0,top
C504,202.7673,-87.9236,90.0,top
C505,197.2673,-93.9236,270.0,top
C509,212.7673,-47.4236,0.0,top
C6,204.2673,-68.9236,180.0,top
C7,198.7673,-47.4236,0.0,top
C8,205.7673,-47.4236,0.0,top
C9,191.7673,-47.4236,0.0,top
D1,99.2673,-49.2913,0.0,top
D2,100.5423,-60.3236,180.0,top
D3,146.2673,-104.4236,0.0,top
D4,146.7673,-31.9236,90.0,top
D5,156.7673,-34.9236,180.0,top
D6,163.2673,-38.4236,180.0,top
D7,216.7673,-111.9236,0.0,top
J1,199.2913,-122.4236,0.0,top
J108,82.9863,-76.0186,270.0,top
J2,163.0673,-29.4236,0.0,top
